ID	OriginalText
0000000000000000	
15958f0291d4f596	"In the fourth year of Tianbao under the Tang Dynasty, the craftsmen of Mohist Hill built the construct ""Flowwater."""
64bcec05d329f5d9	Hit by a meteor, the person suffered multiple severe bone fractures.
8180f546679246ea	"What will a man sacrifice to atone for a lifetime of regrets?\nFor Shen Yilun, the answer was simple: Everything.\nAnd so he did. For twelve solitary years, he trudged toward that vision of ""Ever-Normal for All"". Until the Ever-Normal Granary rose tall over golden wheat fields. Until carts of grain from all directions filled them to the brim. For a fleeting moment, his friends' long-ago vow seemed almost within reach. Then the court handed Plainfield to monsters and rationed the grain for war. Cold reality doused the flames of idealism, leaving only embers. Still, he persisted. On his return from a southern inspection, he plotted memorials, strategies, and relief efforts, until a sudden kidnapping interrupted everything. As he was seized, he braced for death, consumed by regret. Then, shocked, he recognized his ""old friend"".\n\nFrom the moment he left Kaifeng, Shen Yilun had never dared to hope for a reunion with A'zheng. So when the initial shock faded, his heart was overwhelmed by grief at his friend's descent into darkness. But in a hidden corner, a tiny flicker of joy began to grow. Part of this joy came from the sheer miracle of A'zheng's survival, but another part was selfishly personal: for the first time, he saw a chance at redemption, a way to undo the mistakes that had haunted him for twelve long years.\nUnfortunately, events soon spiraled beyond Shen Yilun's control. The towering Dawn-to-Dusk Blossom laid bare a cruel truth: the friend he remembered had been buried by chaos, by villains, and... by himself. Shen Yilun refused to accept the shattered promise—especially when it was his grown friend who'd destroyed it. So in those endless dark days, he sought and prayed, until fate led him to another honest, kind-hearted boy, just as it had twelve years before.\nAnd so the towering flames rose again. Twelve years prior, fire had reduced the Zheng family mansion and the teenagers' innocence and kindness to ash. Twelve years later, an even hotter blaze consumed both present-day sins and past obsessions. Gazing at his disoriented old friend, Shen Yilun found that the man's shadow at last overlapped with the boy he had once known.\n""From now on, you are the true Master of Grain.""\nWith those final words, exhaled on his final breath, Shen Yilun knew: This is the end. When he'd begun this path, he'd been certain he'd give everything without hesitation. Yet now, with his wish fulfilled, what surged up wasn't peace, but regret. Regret, and apology.\nFor as his eyes closed, he thought he'd stepped back into the past or forward into an unknown future. There, the ""Master of Grain"" stood alone in endless wheat fields, while young, kind boys laughed and raced through the golden waves, the air thick with the sweet, gentle scent of grain."
9382d97abb0e452b	For Heavenquaker Spear Martial Art Skills, the Combo count required to gain buff effects is reduced from 5/10 to 4/8. When hitting any unit afflicted with your own Bleed effect, based on the number of Bleed stacks, there is a #Y60%#E/#Y70%#E/#Y80%#E/#Y90%#E/#Y100%#E chance to add 1 extra Combo count, and the duration of all buff effects is extended by #Y3#E seconds.
da470b03702bb753	That hero just rode the divine horse, standing here, seeming to watch the guests in the courier station...
9c88d1a7c80d61e1	There is the beauty—lost in the Flower Expanse—boo hoo...
3a9840fb34d0c1c9	Xiao Douzi
0000000000000000	
0000000000000000	
b65d54ed6521fdb8	Reduce Mystic Skill damage taken by 25%.
57573e2e59776173	Sneaking into Huaixin Station. That's gutsy!
0000000000000000	
9c342a1232c04182	After casting Strategic Sword's Martial Art Skill, Special Skill, or Charged Skill, press the skill button at the perfect timing during the ending phase to cast Crisscrossing Swords and unleash follow-up attacks.
5b7cb3cfce317742	Having spilled the tea, Granny Wang heads off to dig up more gossip.
25bf73017ee7d8c6	Exploration Reward
3bbc54e20d5b340a	Reach the Master rank in 1v1 Arena.
0cea485eceab2e36	Form a Partnership
0000000000000000	
0000000000000000	
0000000000000000	
0000000000000000	
606e512821e3958e	Gains #G250%#E External Affliction Resistance Shield. This prescription is consumed after use.
280a2c4515aac7fd	Once you put on the Spectral Soldier's armor, your living aura is concealed. Move with the Spectral Soldiers to find the Ghost Gate and search for hidden chances within.\n\n#RSet the time to You hour (5-8 pm) to return to market hours.#E
48829f9377c7eaa1	Deal #G170%#E damage; #G75%#E chance to increase Trash Talk Defense, stacking up to #G6#E times.
f0f1f1f7c67f6691	Complete the encounter A Duel of Wits.
0d50cbc239532f0c	Complete the Side Story One Leaf, One Life.
