Original	Translation
0000000000000000	
15958f0291d4f596	"No quarto ano de Tianbao sob a Dinastia Tang, os artesãos da Colina Moísta construíram o autômato ""Água Fluente""."
64bcec05d329f5d9	Atingido por um meteoro, a pessoa sofreu fraturas ósseas.
8180f546679246ea	"O que um homem sacrificará para redimir uma vida de arrependimentos?\nPara Shen Yilun, a resposta era simples: Tudo.\nE assim ele fez. Por doze anos solitários, ele trilhou em direção àquela visão de ""Sempre-Normal para Todos"". Até que o Celeiro Sempre-Normal se ergueu alto sobre campos de trigo dourados. Até que carroções de grãos de todas as direções os encheram até a borda. Por um breve momento, o antigo juramento de seus amigos pareceu quase ao alcance. Então a corte entregou Plainfield a monstros e racionou o grão para a guerra. A realidade fria apagou as chamas do idealismo, deixando apenas brasas. Ainda assim, ele persistiu. Em seu retorno de uma inspeção no sul, ele planejou memoriais, estratégias e esforços de socorro, até que um sequestro repentino interrompeu tudo. Ao ser capturado, ele se preparou para a morte, consumido pelo arrependimento. Então, chocado, ele reconheceu seu ""velho amigo"".\n\nDesde o momento em que deixou Kaifeng, Shen Yilun nunca ousara esperar por um reencontro com A'zheng. Então, quando o choque inicial passou, seu coração foi dominado pela dor ao ver a queda de seu amigo na escuridão. Mas em um canto escondido, uma pequena centelha de alegria começou a crescer. Parte dessa alegria vinha do puro milagre da sobrevivência de A'zheng, mas outra parte era egoistamente pessoal: pela primeira vez, ele viu uma chance de redenção, uma maneira de desfazer os erros que o assombraram por doze longos anos.\nInfelizmente, os eventos logo saíram do controle de Shen Yilun. A imponente Flor do Alvorecer ao Crepúsculo revelou uma verdade cruel: o amigo que ele lembrava havia sido enterrado pelo caos, por vilões, e... por ele mesmo. Shen Yilun se recusou a aceitar a promessa despedaçada — especialmente quando foi seu amigo adulto quem a destruíra. Então, naqueles intermináveis dias sombrios, ele buscou e orou, até que o destino o levou a outro menino honesto e bondoso, assim como doze anos antes.\nE assim as chamas imponentes ascenderam novamente. Doze anos antes, o fogo reduziu a mansão da família Zheng e a inocência e bondade dos adolescentes a cinzas. Doze anos depois, um incêndio ainda mais quente consumiu tanto os pecados atuais quanto as obsessões passadas. Olhando para seu velho amigo desorientado, Shen Yilun descobriu que a sombra do homem finalmente se sobrepôs ao garoto que ele conhecera outrora.\n""De agora em diante, você é o verdadeiro Mestre do Grão.""\nCom essas palavras finais, exaladas em seu último suspiro, Shen Yilun soube: Este é o fim. Quando começou esse caminho, tinha certeza de que daria tudo sem hesitação. No entanto, agora, com seu desejo realizado, o que surgiu não foi paz, mas arrependimento. Arrependimento, e um pedido de desculpas.\nPois, ao fechar os olhos, ele pensou ter voltado ao passado ou avançado para um futuro desconhecido. Lá, o ""Mestre do Grão"" estava sozinho em campos de trigo infinitos, enquanto meninos jovens e bondosos riam e corriam pelas ondas douradas, o ar espesso com o doce e suave aroma do grão."
9382d97abb0e452b	Para Habilidades Marciais da Lança do Treme-Terra, a contagem de Combo necessária para obter efeitos de buff é reduzida de 5/10 para 4/8. Ao acertar qualquer unidade afetada com seu próprio efeito de Sangramento, baseado no número de acúmulos de Sangramento, há uma chance de #Y60%#E/#Y70%#E/#Y80%#E/#Y90%#E/#Y100%#E de adicionar 1 contagem de Combo extra, e a duração de todos os efeitos de buff é estendida por #Y3#E segundos.
da470b03702bb753	Aquele herói acabou de montar o cavalo divino, parado ali, parecendo observar os hóspedes na estação de correios...
9c88d1a7c80d61e1	Está a beleza - perdida no Mar de Flores - buá buá...
3a9840fb34d0c1c9	Douzi
b65d54ed6521fdb8	Reduz dano de Arte Mística recebido em 25%.
57573e2e59776173	Infiltra-se no Posto Huaixin. Isso é corajoso!
9c342a1232c04182	Após lançar a Habilidade Marcial da Espada Estratégica, Habilidade Especial ou Habilidade Carregada, pressione o botão da habilidade no momento perfeito durante a fase final para lançar Espadas Cruzadas e desencadear ataques de acompanhamento.
5b7cb3cfce317742	Tendo derramado o chá, Wang Dashen sai para coletar mais.
25bf73017ee7d8c6	Pode ser obtido através da jogabilidade de exploração.
3bbc54e20d5b340a	"Alcance o posto ""Nuvem Fluente"" na jogabilidade de Duelo."
0cea485eceab2e36	Formar um vínculo
606e512821e3958e	Ganha Escudo de Resistência a Afecções Externas de #G250%#E, esta prescrição é consumida após o uso.
280a2c4515aac7fd	Assim que você vestir a armadura do Soldado Espectral, sua aura vital fica oculta. Movimente-se com os Soldados Espectrais para encontrar o Portão Fantasma e buscar oportunidades ocultas dentro.\n\n#RDefina o horário para a Hora do Galo (17h-19h) para retornar ao horário comercial.#E
48829f9377c7eaa1	Causa #G170%#E de dano; #G75%#E de chance de aumentar a Defesa Língua Afiada, acumulando até #G6#E vezes.
f0f1f1f7c67f6691	"Complete o encontro ""Um Duelo de Engenhosidade"""
0d50cbc239532f0c	Obtido após completar a missão secundária Uma Folha, Uma Vida
c4ef0bfcf047a540	Participe da Arena 3v3 e alcance o posto Conquistador I para obter
344241a96ffafe57	Ele afirma ser um especialista em artes marciais—ouça seu grande discurso sobre treinamento. (Após o sucesso, você pode fazer amizade com ele e receber presentes semanais deste amigo.)
774566099fadc728	Tísica
e501be8123afff67	Encontro Concluído - Um Brinde ao Destino, Parte I
b822cbb0f93c3e91	Encontro Predestinado na Lista
3675d7922551d9aa	Aquele maldito pesquisador destruiu o Trilho do Fluxo, e até o Coração Obstinado está falhando por causa disso.
aa24852995f6bf72	Cheng Shi
cbb9006ef1b6cd3d	Arte Interna
9874f18733dc549f	Hong Yang expressa gratidão e começa a ponderar cuidadosamente.
07930b37b8aab9b4	Desafiar uma vez
9b39c8dfb55ca6c1	Não pode participar de Coração a Coração.
974227b4a394abe0	04 Borda Sombreada
8a61ec203f909816	Cada vez que ele Intimida, sua chance de Intimidar aumenta e o próximo Língua Afiada causa dano aumentado. Este efeito pode acumular.
0adfb86309996c2c	Comprando uma panela, grande herói? Heróis precisam cozinhar suas próprias refeições?
ba8c8c8b49653b3e	Hmph, nunca vi nada parecido antes.
6bd45a6da8d674b0	Use para presentear um herói e ganhar 10 Pontos de Vínculo.
dcaf3373c7366846	Complementem a procura O caminho para casa
87280a4969df3df3	Obtenha ao alcançar o posto máximo Dominador (2.000 pontos) na Disputa Mundial (Arena 5v5).
c5abb2dd6c754797	Procurando comprar o Diagrama do Navio de Guerra dos Cinco Fang. Por favor, venha ao Salão da Farra dos Fantasmas no terceiro quarto da hora antes da meia-noite do dia 15 de julho lunar, se estiver interessado. Use uma ameixa vermelha como seu sinal.
29c19ac62b75abb8	Dez mil fios. Dez anos. Uma lâmina. Uma tecelagem da meia-noite—furtividade para o assassino, silêncio para o segredo.
7d4de1d12e25c45d	Contém Nota de Arte Interna: Baú Aleatório ×6.
33b0f820d13f8c85	Zhang Dazhuang reflete sobre suas palavras e agradece a você.
e2108bea64632979	"""O primeiro golpe afasta os corajosos, e o segundo golpe derrota os heróis. O terceiro golpe quebra os campeões, e o sexto golpe conquista o mundo."" O Golpe Sêxtuplo tem seis golpes, mas a maioria das pessoas só viu três porque Dugu Yuan, o criador, só usou três para derrotar todos que encontrou. Poço do Céu também se tornou o melhor mestre de espadas com esta técnica."
df60777002c50acb	Aumento de Dano da Habilidade de Arte Marcial das Lâminas Gêmeas Infernais
c8d934c008b80901	Pressione para #Htrocar de Armas#E e usar diferentes Habilidades de Artes Marciais.
0aa80a658af75c1c	"Complete a missão do Capítulo Fragmentado ""Colecionando: O Caminho da Criação"""
12c3373eb874aeb3	Contém uma Nota de Arte Interna aleatória.\n\nRecomendado para #YCaminho da Ligação de Seda#E. Tem chance de obter Notas Épicas #YLigações de Seda: Jade/Dilúvio#E, #YNotas Lendárias (todos os caminhos)#E, ou Notas Gerais.
4ed2acc1f3567a2f	Ouro
6349e19a3210328c	#YRecompensa especial: resgate em Capítulos Perdidos posteriores#E
7bee754707b9faf4	Aumenta a chance de resistir ao ataque Língua Afiada, acumulando até 6 vezes
2e1bf24e52cca0d9	Tábua de Aliye
